Disease,County,Year,MALE,FEMALE
Amebiasis,MENDOCINO,2016,,
Amebiasis,MENDOCINO,2017,,
Amebiasis,MENDOCINO,2018,0,0
Amebiasis,MERCED,2001,0,0
Amebiasis,MERCED,2002,0,1
Amebiasis,MERCED,2003,0,0
Amebiasis,MERCED,2004,4,2
Amebiasis,MERCED,2005,1,3
Amebiasis,MERCED,2006,1,0
Amebiasis,MERCED,2007,0,1
Amebiasis,MERCED,2008,5,0
Amebiasis,MERCED,2009,1,0
Amebiasis,MERCED,2010,0,0
Amebiasis,MERCED,2011,1,0
Amebiasis,MERCED,2012,0,0
Amebiasis,MERCED,2013,1,0
Amebiasis,MERCED,2014,1,0
Amebiasis,MERCED,2015,0,1
Amebiasis,MERCED,2016,0,3
Amebiasis,MERCED,2017,2,1
Amebiasis,MERCED,2018,3,3
Amebiasis,MODOC,2001,0,0
Amebiasis,MODOC,2002,0,0
Amebiasis,MODOC,2003,0,0
Amebiasis,MODOC,2004,0,0
Amebiasis,MODOC,2005,0,0
Amebiasis,MODOC,2006,0,0
Amebiasis,MODOC,2007,0,0
Amebiasis,MODOC,2008,0,0
Amebiasis,MODOC,2009,0,0
Amebiasis,MODOC,2010,0,0
Amebiasis,MODOC,2011,0,0
Amebiasis,MODOC,2012,0,0
Amebiasis,MODOC,2013,0,0
Amebiasis,MODOC,2014,0,0
Amebiasis,MODOC,2015,0,0
Amebiasis,MODOC,2016,0,0
Amebiasis,MODOC,2017,0,0
Amebiasis,MODOC,2018,0,0
Amebiasis,MONO,2001,0,0
Amebiasis,MONO,2002,0,0
Amebiasis,MONO,2003,0,0
Amebiasis,MONO,2004,0,0
Amebiasis,MONO,2005,0,0
Amebiasis,MONO,2006,0,0
Amebiasis,MONO,2007,0,0
Amebiasis,MONO,2008,0,0
Amebiasis,MONO,2009,0,0
Amebiasis,MONO,2010,0,0
Amebiasis,MONO,2011,0,0
Amebiasis,MONO,2012,0,0
Amebiasis,MONO,2013,0,0
Amebiasis,MONO,2014,0,0
Amebiasis,MONO,2015,0,0
Amebiasis,MONO,2016,0,0
Amebiasis,MONO,2017,0,0
Amebiasis,MONO,2018,0,0
Amebiasis,MONTEREY,2001,3,3
Amebiasis,MONTEREY,2002,0,3
Amebiasis,MONTEREY,2003,3,4
Amebiasis,MONTEREY,2004,2,0
